HTS CODE	DESCRIPTION	BASE DUTY RATE
6101.30.10.00	Containing 25 percent or more by weight of leather (634)	5.60%
6103.10.90	Other	5.60%
6103.39.80	Other	5.60%
6103.49.80	Other	5.60%
6104.19.80	Other	5.60%
6104.49.90	Other	5.60%
6104.59.80	Other	5.60%
6104.69.80	Other	5.60%
6105.90.80	Other	5.60%
6106.90.25	Other	5.60%
6107.19.90.00	Other (852)	5.60%
6107.29.90.00	Other (851)	5.60%
6109.90.15	"Of wool, with long sleeves"	5.60%
6111.90.90.00	Other (839)	5.60%
6114.90.90	Other	5.60%
6914.90.80.00	Other	5.60%
7005.21.20.00	Measuring 10 mm or more in thickness	5.60%
7202.80.00.00	Ferrotungsten and ferrosilicon tungsten	5.60%
7307.19.30	Ductile fittings	5.60%
7307.21.50.00	Other	5.60%
8481.80.30	Of iron or steel	5.60%
9506.59.40	Badminton rackets and parts and accessories thereof	5.60%
9506.99.12.00	Other	5.60%
9507.90.40.00	Fishing casts or leaders	5.60%
9619.00.46.00	Of knitted or crocheted textile fabric (839)	5.60%
9619.00.68.00	Other	5.60%
9902.10.06	"Mixtures of N-{2,4-dichloro-5-[4-(difluoromethyl)-3-methyl-5-oxo-4,5-dihydro-1H -1,2,4-triazol-1-yl] phenyl} methanesulfonamide (Sulfentrazone) (CAS No. 122836-35-5) and application adjuvants (provided for in subheading 3808.93.15)"	5.60%
9902.10.09	"Mixtures containing N-[(1R,2S)-2,6-dimethyl-2,3-dihydro-1H-inden-1-yl]-6-[(1R)-1-fluoroethyl] -1,3,5-triazine-2,4-diamine (Indazaflam) and application adjuvants (CAS No. 950782-86-2) (provided for in subheading 3808.93.15)"	5.60%
4202.12.60.00	Other (870)	5.70%
4202.22.60.00	Other (871)	5.70%
4202.32.80.00	Other (871)	5.70%
4202.92.20.00	Other (870)	5.70%
5506.20.00.00	Of polyesters	5.70%
6101.90.90	Other	5.70%
6102.90.90	Other	5.70%
6910.90.00.00	Other	5.70%
7318.13.00	Screw hooks and screw rings	5.70%
7318.19.00.00	Other	5.70%
7321.11.10	Portable	5.70%
7607.19.30.00	"Cut to shape, of a thickness not exceeding <il>0.15 mm</il>"	5.70%
7608.10.00	"Of aluminum, not alloyed"	5.70%
7608.20.00	Of aluminum alloys	5.70%
7609.00.00.00	"Aluminum tube or pipe fittings (for example, couplings, elbows, sleeves)"	5.70%
7610.10.00	"Doors, windows and their frames and thresholds for doors"	5.70%
7610.90.00	Other	5.70%
7612.90.10	Of a capacity not exceeding 20 liters	5.70%
7614.90.50.00	Fitted with fittings or made up into articles	5.70%
7616.10.10.00	"Nails, tacks and staples"	5.70%
7616.10.50.00	Cotters and cotter pins	5.70%
8205.30.30.00	"With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium"	5.70%
8207.30.30	"Suitable for cutting metal, and parts thereof"	5.70%
8207.40.30.00	"With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium"	5.70%
8301.20.00	Locks of a kind used on motor vehicles	5.70%
8301.30.00	Locks of a kind used for furniture	5.70%
8301.40.60	Other	5.70%
8302.20.00.00	"Castors, and parts thereof"	5.70%
8302.49.60	"Of iron or steel, of aluminum or of zinc"	5.70%
8305.90.60.00	Other	5.70%
8483.50.40.00	"Gray-iron awning or tackle pulleys, not over <il>6.4 cm</il> in wheel diameter"	5.70%
8716.90.30.00	"Castors, other than those of heading 8302"	5.70%
9209.94.40.00	Collapsible musical instrument stands	5.70%
9209.99.10.00	"Mutes for musical instruments; pedals, dampers and spurs for drums; pedals and holders for cymbals; lyres and other music holders for attachment to musical instruments; and collapsible stands for holding music or for holding musical instruments"	5.70%
9304.00.60.00	Other	5.70%
9405.50.30.00	Of brass	5.70%
9405.61.20.00	Of brass	5.70%
9405.69.20.00	Of brass	5.70%
9902.05.07	"2-Chloro-4-(methylsulfonyl)-3-((2,2,2-trifluoroethoxy)methyl) benzoic acid (CAS No. 120100-77-8) (provided for in subheading 2930.90.29)"	5.70%
9902.05.72	"3-(Difluoromethyl)-1-methyl-N-(3',4',5'-trifluorobiphe- nyl-2-yl)pyrazole-4-carboxamide (Fluxapyroxad) (CAS No. 907204-31-3) (provided for in subheading 2933.19.37)"	5.70%
9902.14.22	"House slippers with outer soles of rubber or plastics and uppers of leather, for men, youths and boys (provided for in subheading 6403.99.60)"	5.70%
2001.90.30.00	Beans	5.80%
2710.19.35.00	Containing not over 10 percent by weight of salts of fatty acids of animal (including marine animal) or vegetable origin	5.80%
2710.99.32.00	Containing not over 10 percent by weight of salts of fatty acids of animal (including marine animal) or vegetable origin	5.80%
2918.17.00.01	"2,2-Diphenyl-2-hydroxyacetic acid (benzilic acid)"	5.80%
2918.19.11.00	"Benzilic acid, methyl ester"	5.80%
2918.29.04.00	"2,3-Cresotic acid; 2-Hydroxybenzoic acid, calcium salt; 1-Hydroxy-2-naphthoic acid; 2-Hydroxy-1-naphthoic acid; 1-Hydroxy-2-naphthoic acid, phenyl ester;<i>?</i>-Resorcylic acid;<i>?</i>-Resorcylic acid; and 5-Sulfosalicylic acid"	5.80%
2918.29.06.00	"1,6-Hexanediol bis(3,5-dibutyl-4-hydroxyphenyl)propionate)"	5.80%
2918.30.10.00	"1-Formylphenylacetic acid, methyl ester"	5.80%
2918.99.05.00	<i>p</i>-Anisic acid; Clofibrate; and 3-Phenoxybenzoic acid	5.80%
2921.21.00.00	Ethylenediamine and its salts	5.80%
2921.42.18.00	"<i>o</i>-Aminobenzenesulfonic acid (Orthanilic acid); 6-Chlorometanilic acid; 2-Chloro-5-nitroaniline; 4-Chloro-3-nitroaniline; 2,3-Dichloroaniline; 2,4-Dichloroaniline; 2,5-Dichloroaniline; 3,5-Dichloroaniline;<i>N</i>,<i>N</i>-Diethylmetanilic acid;<i>N</i>,<i>N</i>-Diethylmetanilic acid, sodium salt; 2,4-Difluoroaniline;<i>p</i>-Fluoroaniline;<i>N</i>-Methylaniline; and<i>m</i>-Nitroaniline"	5.80%
2921.43.08.00	"4-Chloro-<i>o</i>-toluidine and hydrochloride; 5-Chloro-<i>o</i>-toluidine; 6-Chloro-2-toluidine-4-sulfonic acid; 4-Chloro-<i>?</i>,<i>?</i>,<i>?</i>-trifluoro-<i>o</i>- toluidine; 2,6-Dichloro-<i>m</i>-toluidine;<i>N</i>,<i>N</i>- Dimethyl-<i>p</i>-toluidine;<i></i><i>N</i>-Ethyl-<i>N</i>-benzyl-<i>m</i>-toluidine; and<i>N</i>-Ethyl-<i>o</i>-toluidine"	5.80%
2921.45.20.00	"3-Amino-2,7-naphthalenedisulfonic acid; 4-Amino-1-naphthalenesulfonic acid, sodium salt; 5-Amino-1-naphthalenesulfonic acid (Laurent's acid); 8-Amino-2-naphthalenesulfonic acid and its salts; 7-Amino-1,3,6-naphthalenetrisulfonic acid; 8-Anilino-1-naphthalenesulfonic acid (Phenyl Peri acid) and its salts; and<i>N</i>-Ethyl-1-naphthylamine"	5.80%
2921.49.10.00	"4-Amino-2-stilbenesulfonic acid and its salts;<i>p</i>-Ethylaniline; 2,4,6-Trimethylaniline (Mesidine); 2,3-Xylidine; 2,4-Xylidine; 2,5-Xylidine; and 3,4-Xylidine"	5.80%
2921.59.08.00	"5-Amino-2-(<i>p</i>-aminoanilino) benzenesulfonic acid; 4,4'-Diamino-3-biphenylsulfonic acid (3-Benzidinesulfonic acid); 3,3'-Dimethylbenzidine (<i>o</i>-Tolidine); 3,3'-Dimethylbenzidine hydrochloride; Ethyl-(2-dimethylaminoethyl) aniline;<i>N</i>-Ethyl-<i>N</i>,<i>N</i>'-dimethyl-<i>N</i>'-phenylethylene- diamine; and 4,4'-Methylenebis(2-chloroaniline)"	5.80%
2922.19.20.00	"4,4'-Bis(dimethylamino) benzhydrol (Michler's hydrol); 5'-[3'-(Dimethylamino) propyl]-10',11'- dihydro-5<i>H</i>'-dibenzo [<i>a</i>,<i>b</i>] cyclohept- en-5'-ol (Dibenzcarbinol); and 1-(<i>p</i>-Nitrophenyl)-2-amino-1,3- propanediol"	5.80%
2922.21.10.00	"1-Amino-8-hydroxy-3,6-naphthalenedisulfonic acid; 4-Amino-5-hydroxy-1,3-naphthalenedisulfonic acid (Chicago acid); 4-Amino-5-hydroxy-1,3-naphthalenedisulfonic acid, potassium salt; 4-Amino-5-hydroxy-1,3-naphthalenedisulfonic acid, sodium salt; 4-Amino-5-hydroxy-2,7-naphthalenedisulfonic acid, monosodium salt (H acid, monosodium salt); 4-Amino-5-hydroxy-2,7-naphthalenedisulfonic acid, potassium salt (H acid, monopotassium salt); 4-Amino-3-hydroxy-1-naphthalenesulfonic acid; 6-Amino-1-naphthol-3-sulfonic acid and its salts; and 8-Amino-1-naphthol-5-sulfonic acid and its salts"	5.80%
2922.29.10.00	"2-Amino-6-chloro-4-nitrophenol; 2-Amino-4-chlorophenol; 2-Amino-4-chlorophenol hydrochloride; 2-Amino-<i>p</i>-cresol; 4-Amino-<i>o</i>-cresol; 6-Amino-2,4-dichloro-3-methylphenol; 2-(3-Amino-4-hydroxyphenylsulfonyl)ethanol; 2-Amino-4-nitrophenol; 2-Amino-4-nitrophenol, sodium salt; 2-Amino-5-nitrophenol;<i>m</i>-Aminophenol; 2-(4'-Aminophenoxy)ethylsulfate; 5-Chloro-2-(2',4'-dichlorophenoxy)aniline; 3,4-Dimethoxyphenethylamine (Homoveratrylamine); 2-Hydroxy-5-nitrometanilic acid; 4-Methoxymetanilic acid; 6-Methoxymetanilic acid; 4-Methoxy-<i>m</i>-phenylenediamine; 5-Methoxy-<i>m</i>-phenylenediamine sulfate; 6-(Methylamino)-1-naphthol-3-sulfonic acid; 7-(Methylamino)-1-naphthol-3-sulfonic acid; and 2-Methyl-<i>p</i>-anisidine"	5.80%
2922.39.10.00	"2'-Amino aceto phenone; 3'-Amino aceto phenone; 1-Amino-4-bromo-2-methyl anthra quinone; 1,4-Bis [1-anthra quinonyl amino] anthra- quinone; 1,4-Di mesi dino anthra quinone; 4-Dimethyl amino benzaldehyde; and Imino di anthra quinone"	5.80%
2922.49.10.00	"<i>m</i>-Aminobenzoic acid, technical;<i>p</i>-Aminobenzoic acid; 3,5-Diaminobenzoic acid; 2-Ethylamino-5-sulfobenzoic acid; 3-(<i>N</i>-Ethylanilino)propionic acid, methyl ester;<i>?</i>-(<i>?</i>-Methoxyethoxyethyl)-4-aminobenzoate; Methyl anthranilate; and<i>l</i>-Phenylalanine"	5.80%
2922.50.10.00	"<i>dl</i>-3-(3,4-Di hydroxy phenyl) alanine;<i>N</i>-Ethyl-<i>N</i>-(2-methoxy carbonyl ethyl) aniline;<i>dl</i>-Phenyl ephrine base; and Carbonic acid, methyl ester, diester with 2,2'-(<i>m</i>-tolyl amino) diethanol (Toluidine carbonate)"	5.80%
2924.29.31.00	"4-Acetamido-2-amino phenol;<i>p</i>-Acetamino benz aldehyde; Aceto acet benzyl amide; Aceto acet-5-chloro-2-toluidide;<i>p</i>-Aceto aceto phenetidide;<i>N</i>-Acetyl-2,6-xylidine (<i>N</i>-Acetyl-2,6- dimethyl aniline);<i>p</i>-Amino benzoic acid iso octyl amide;<i>p</i>-Amino benzoyl amino naphthalene sulfonic acid; 2-Amino-4-chloro benzamide; 3-Amino-4-chloro benzamide; 4-Amino hippuric acid;<i>p</i>-Amino phenyl urethane; 1-Benzamido-4-chloro anthra quinone; 1-Benzamido-5-chloro anthra quinone; Benzanilide; 4'-Chloro aceto acetanilide; 3-(<i>N</i>,<i>N</i>-Dihydroxy ethyl amino) benzanilide; 2,5-Dihydroxy-<i>N</i>-(2-hydroxyethyl)- benzamide; Gentisamide;<i>N</i>,<i>N</i>'-Hexa methylene bis(3,5-di-tert-butyl- 4-hydroxy hydrocinnamamide); 2-(<i>m</i>-Hydroxyanilino) acetamide; Nitra acid amide (1-Amino-9,10-dihydro-<i>N</i>- (3-methoxy propyl)-4-nitro-9,10-dioxo-2- anthramide); Phenacetin, technical; and<i>?</i>-Resorcyl amide"	5.80%
2927.00.06.00	"<i>p</i>-Aminoazobenzenedisulfonic acid; and Diazoaminobenzene (1,3-Diphenyltriazene)"	5.80%
2929.10.20.00	"Bitolylene diisocyanate (TODI);<i>o</i>-Isocyanic acid, <i>o</i>-tolyl ester; and Xylene diisocyanate"	5.80%
2931.90.15.00	Sodium tetraphenylboron	5.80%
2932.99.39.00	Benzoin tetrahydropyranyl ester; and Xanthen-9-one	5.80%
2933.19.08.00	"3-(5-Amino-3-methyl-1<i>H</i>-pyrazol-1-yl)- benzenesulfonic acid; Amino-J-pyrazolone; 3-Amino-1-(2,4,6-trichlorophenyl)-5- pyrazolone; 3-Carboxy-1,4-sulfophenylpyrazol-5-one; 4-Chloro-3-(3-methyl-5-oxo-2-pyrazolin-1- yl)benzenesulfonic acid; 1-(<i>m</i>-Chlorophenyl)-3-methyl-2-pyrazolin- 5-one;<i>p</i>-Chloropyrazolone; 1-(2',5'-Dichlorophenyl)-3-methyl-2- pyrazolin-5-one; 1-(<i>o</i>-Ethylphenyl)-3-methyl-2-pyrazolin- 5-one; 5-Imino-3-methyl-1-phenylpyrazole; 5-Imino-3-methyl-1-(<i>m</i>-sulfophenyl)- pyrazole; 2,4-Methylcarboxypyrazolic acid; Methylphenylpyrazolone; and Sulfinpyrazone"	5.80%
2933.29.10.00	2-Phenylimidazole	5.80%
2933.35.00.00	3-Quinuclidinol	5.80%
2933.39.20.00	"p-Chloro-2-benzylpyridine; 4-Chloro-1-methylpiperidine hydrochloride; 1,4-Dimethyl-6-hydroxy-3-cyanopyrid-2-one; Di-(2,2,6,6-tetramethyl-4-hydroxy- piperidine)sebacate; 2-Methyl-5-ethylpyridine; 4-Phenylpropylpyridine; ?-Phenylpyridylacetic acid, methyl ester; Picolinic acid; 2-Pyridinecarboxaldehyde; and 2,5-Pyridinedicarboxylic acid"	5.80%
2933.49.15.00	8-Methylquinoline and Isoquinoline	5.80%
2933.99.12.00	"6-Bromo-5-methyl-1<i>H</i>-imidazo[4,5-<i>b</i>]- pyridine; 2-<i>sec</i>-Butyl-4-<i>tert</i>-butyl-6-(benzotriazol-2- yl)phenol; 2-<i>tert</i>-Butyl-4-methyl-6-(5-chlorobenzotri- azol-2-yl)phenol; 2,4-Di-<i>tert</i>-butyl-6-(benzotriazol-2-yl)phenol; 2,4-Di-<i>tert</i>-butyl-6-(5-chlorobenzotriazol-2- yl)phenol; 2,3-Dichloro-6-quinoxalinecarbonyl chloride; 1-Hydroxy-2-carbazolecarboxylic acid; 2-Hydroxy-3-carbazolecarboxylic acid; 2-Hydroxy-3-carbazolecarboxylic acid, sodium salt; Iminodibenzyl(10,11-dihydro-5<i>H</i>-dibenz- [<i>b</i>,f]azepine); Indoline; 3-Methylbenzo[f]quinoline; 2-Methylindoline; 2-Methylmercaptobenzimidazole; 1-Methyl-2-phenylindole; 1-Methylpyrazine; 2,4-Methylpyrazolic acid; 2-Phenylbenzimidazole; 2-Phenylindole; Tetramethylpyrazine; 2,3,5-Triphenyltetrazolium chloride;<i>dl</i>-Tryptophan; and Vinylcarbazole, monomer"	5.80%
2934.20.30.00	2-Amino-6-methoxy benzo thiazole; 2-Amino-6-methyl benzo thiazole; 6-Ethoxy-2-benzo thiazo lethiol; 3-Methyl benzo thiazole-2-hydrazone; and Primuline base	5.80%
2934.99.05.00	"5-Amino-3-phenyl-1,2,4-thiadiazole (3-Phenyl-5-amino-1,2,4-thiadiazole); 2-Hydroxybenzoxazole (Benzoxazolone); 4-Phenylmorpholine; 1,9-Thianthrenedicarboxylic acid; and Thioxanthene-9-one (Thioxanthone)"	5.80%
2940.00.60.00	Other	5.80%
3307.30.10.00	"Bath salts, whether or not perfumed"	5.80%
3403.19.50.00	Other	5.80%
3802.90.10.00	Bone black	5.80%
3904.61.00	Polytetrafluoroethylene (PTFE)	5.80%
3907.40.00.00	Polycarbonates	5.80%
3907.91.40.00	Other	5.80%
3911.90.45.00	Other	5.80%
3913.90.20	Polysaccharides and their derivatives	5.80%
3916.10.00.00	Of polymers of ethylene	5.80%
3916.20.00	Of polymers of vinyl chloride	5.80%
3916.90.50.00	Other	5.80%
3919.10.20	Other	5.80%
3919.90.50	Other	5.80%
3920.30.00.00	Of polymers of styrene	5.80%
3920.49.00.00	Other	5.80%
3920.61.00.00	Of polycarbonates	5.80%
3920.63.20.00	Other	5.80%
3920.93.00.00	Of amino-resins	5.80%
3920.94.00.00	Of phenolic resins	5.80%
3920.99.50.00	Other	5.80%
4602.19.12.00	Of willow	5.80%
4602.19.22.00	Of willow	5.80%
5205.21.00	Not exceeding 14 nm	5.80%
5205.31.00.00	Not exceeding 14 nm per single yarn (300)	5.80%
5405.00.60.00	Other	5.80%
5703.29.10.00	"Hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool (665)"	5.80%
5902.10.00.00	Of nylon or other polyamides (229)	5.80%
5902.20.00.00	Of polyesters (229)	5.80%
6302.51.30.00	Other (369)	5.80%
6304.20.00	Bed nets specified in subheading note 1 to this chapter	5.80%
6304.91.01	Knitted or crocheted	5.80%
6307.90.85.00	"Wall banners, of man-made fibers"	5.80%
6910.10.00	Of porcelain or china	5.80%
7113.19.25.00	Mixed link	5.80%
7113.19.30.00	Clasps and parts thereof	5.80%
7113.20.21.00	Rope	5.80%
7113.20.25.00	Mixed link	5.80%
7113.20.30.00	Clasps and parts thereof	5.80%
7202.21.90.00	Containing by weight more than 90 percent of silicon	5.80%
7318.21.00	Spring washers and other lock washers	5.80%
7607.11.30.00	Of a thickness not exceeding <il>0.01 mm</il>	5.80%
8306.10.00.00	"Bells, gongs and the like, and parts thereof"	5.80%
8461.40.10	Gear cutting machines	5.80%
8466.93.30.00	Of metalworking machine tools for cutting gears	5.80%
8466.93.75.00	Of metalworking machine tools for cutting gears	5.80%
8482.20.00	"Tapered roller bearings, including cone and tapered roller assemblies"	5.80%
8482.30.00	Spherical roller bearings	5.80%
8482.40.00.00	"Needle roller bearings, including cage and needle roller assemblies"	5.80%
8482.50.00.00	"Other cylindrical roller bearings, including cage and roller assemblies"	5.80%
8482.80.00	"Other, including combined ball/roller bearings"	5.80%
8482.99.15	For tapered roller bearings	5.80%
8482.99.25	Other	5.80%
8482.99.45.00	Parts of tapered roller bearings	5.80%
8482.99.65	Other	5.80%
8539.22.40.00	Christmas-tree lamps	5.80%
8539.29.10.00	Christmas-tree lamps	5.80%
9006.91.00.01	For cameras	5.80%
9013.80.40.00	Door viewers (door eyes)	5.80%
9017.30.40.00	Micrometers and calipers	5.80%
9620.00.20.00	Accessories for photographic (other than cinematographic) cameras of heading 9006	5.80%
9902.01.13	"Gum containing nicotine and containing synthetic sweetening agents (e.g., saccharin) instead of sugar (provided for in subheading 2106.90.98)"	5.80%
9902.13.42	"Carpets and other textile floor coverings, tufted, whether or not made up, of wool or fine animal hair, hand-hooked, that is, in which the tufts were inserted by hand or by means of a hand tool that is not power-driven (provided for in subheading 5703.10.20)"	5.80%
3204.90.00.00	Other	5.90%
3206.49.10.00	Concentrated dispersions of pigments in plastics materials	5.90%
3209.90.00.00	Other	5.90%
3606.90.30.00	Ferrocerium and other pyrophoric alloys	5.90%
6304.11.30.00	Other (899)	5.90%
9902.10.68	Poly(propylene-co-ethylene) (CAS No. 9010-79-1) (provided for in subheading 3902.30.00)	5.90%
0304.91.90.00	Other	6%
0304.92.90.00	Other	6%
0304.93.90.00	Other	6%
0304.94.90.00	Other	6%
0304.95.90.00	Other	6%
0304.96.00.00	Dogfish and other sharks	6%
0304.97.00.00	Rays and skates (<i>Rajidae)</i>	6%
0304.99.91	Other	6%
0309.10.90.00	Other	6%
0714.20.10.00	Frozen	6%
0714.30.20.00	Frozen	6%
0714.40.20.00	Frozen	6%
0714.50.20.00	Frozen	6%
0714.90.46.00	Other	6%
1211.20.15.00	Chilled or frozen	6%
1211.90.93.00	Chilled or frozen	6%
1604.11.20	"In oil, in airtight containers"	6%
1604.14.22	"In containers weighing with their contents not over 7 kg each, and not the product of any insular possession of the United States, for an aggregate quantity entered in any calendar year not to exceed 4.8 percent of apparent United States consumption of tuna in airtight containers during the immediately preceding year, as reported by the National Marine Fisheries Service"	6%
1604.14.50.00	Other	6%
1604.14.80.00	Not in oil	6%
1604.17.80.00	Other	6%
1604.18.90.00	Other	6%
1604.19.82.00	Other	6%
1701.91.42.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1701.91.44.00	Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions	6%
1701.91.52.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1701.91.54.00	Described in additional U.S. note 8 to this chapter and entered pursuant to its provisions	6%
1702.20.22	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1702.20.24	Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions	6%
1702.30.22.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1702.30.24.00	Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions	6%
1702.40.22.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1702.40.24.00	Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions	6%
1702.60.22.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1702.60.24.00	Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions	6%
1702.90.52.00	Described in general note 15 of the tariff schedule and entered pursuant to its provisions	6%
1702.90.54.00	Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions	6%
1702.90.64.00	Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions	6%
1806.32.90.00	Other	6%
1806.90.90	Other	6%
2008.99.91	Other	6%
2103.20.20.00	Tomato ketchup	6%
2918.14.00.00	Citric acid	6%
2918.16.10.00	Gluconic acid	6%
2933.29.20.00	Drugs	6%
3206.11.00.00	Containing 80 percent or more by weight of titanium dioxide calculated on the dry matter	6%
3206.19.00.00	Other	6%
3207.40.10.00	Ground or pulverized	6%
3307.49.00.00	Other	6%
3403.91.10.00	Preparations for the treatment of textile materials	6%
3501.90.20.00	Casein glues	6%
3809.91.00.00	Of a kind used in the textile or like industries	6%
3809.92.50.00	Other	6%
3809.93.50.00	Other	6%
3814.00.50	Other	6%
3824.10.00.00	Prepared binders for foundry molds or cores	6%
3920.51.10.00	Flexible	6%
3920.59.10.00	Flexible	6%
3920.99.10.00	"Over 0.152 mm in thickness, and not in rolls"	6%
4203.10.40	Other	6%
4411.92.40.00	Other	6%
5106.10.00	Containing 85 percent or more by weight of wool	6%
5106.20.00.00	Containing less than 85 percent by weight of wool (400)	6%
5107.10.30.00	Of wool fiber with an average fiber diameter of 18.5 microns or less (400)	6%
5107.10.60.00	Other (400)	6%
5107.20.30.00	Of wool fiber with an average fiber diameter of 18.5 microns or less (400)	6%
